==10125== NVPROF is profiling process 10125, command: ../bin/gpu
==10125== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==10125== Profiling application: ../bin/gpu
==10125== Profiling result:
==10125== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA Tegra X1 (0)"
    Kernel: abc_algo(abc_info_s)
          1                               stall_other                                           Issue Stall Reasons (Other)       2.58%       2.58%       2.58%
          1          stall_constant_memory_dependency                              Issue Stall Reasons (Immediate constant)       0.02%       0.02%       0.02%
          1                           stall_pipe_busy                                       Issue Stall Reasons (Pipe Busy)       0.11%       0.11%       0.11%
          1                     stall_memory_throttle                                 Issue Stall Reasons (Memory Throttle)       0.00%       0.00%       0.00%
          1                        stall_not_selected                                    Issue Stall Reasons (Not Selected)       0.20%       0.20%       0.20%
          1                  sysmem_read_transactions                                       System Memory Read Transactions           0           0           0
          1                 sysmem_write_transactions                                      System Memory Write Transactions           0           0           0
          1                      l2_read_transactions                                                  L2 Read Transactions      389270      389270      389270
          1                     l2_write_transactions                                                 L2 Write Transactions      341859      341859      341859
          1                     local_memory_overhead                                                 Local Memory Overhead       9.84%       9.84%       9.84%
          1                        tex_cache_hit_rate                                                Unified Cache Hit Rate      10.09%      10.09%      10.09%
          1                    l2_tex_read_throughput                                         L2 Throughput (Texture Reads)  0.9967GB/s  0.9967GB/s  0.9967GB/s
          1                   l2_tex_write_throughput                                        L2 Throughput (Texture Writes)  970.51MB/s  970.51MB/s  970.51MB/s
          1                  l2_tex_read_transactions                                       L2 Transactions (Texture Reads)      359888      359888      359888
          1                 l2_tex_write_transactions                                      L2 Transactions (Texture Writes)      342226      342226      342226
          1                        l2_read_throughput                                                 L2 Throughput (Reads)  1.0781GB/s  1.0781GB/s  1.0781GB/s
          1                       l2_write_throughput                                                L2 Throughput (Writes)  969.47MB/s  969.47MB/s  969.47MB/s
          1                    sysmem_read_throughput                                         System Memory Read Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   sysmem_write_throughput                                        System Memory Write Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                      l2_atomic_throughput                                       L2 Throughput (Atomic requests)  0.00000B/s  0.00000B/s  0.00000B/s
          1                    l2_atomic_transactions                                     L2 Transactions (Atomic requests)           0           0           0
          1                         sysmem_read_bytes                                              System Memory Read Bytes           0           0           0
          1                        sysmem_write_bytes                                             System Memory Write Bytes           0           0           0
          1                          gld_transactions                                              Global Load Transactions      510194      510194      510194
          1              gld_transactions_per_request                                  Global Load Transactions Per Request   22.306488   22.306488   22.306488
          1                            l2_utilization                                                  L2 Cache Utilization     Low (1)     Low (1)     Low (1)
          1                          dram_utilization                                             Device Memory Utilization     Mid (6)     Mid (6)     Mid (6)
          1                             flop_count_hp                             Floating Point Operations(Half Precision)           0           0           0
          1                         flop_count_hp_add                         Floating Point Operations(Half Precision Add)           0           0           0
          1                         flop_count_hp_fma                         Floating Point Operations(Half Precision FMA)           0           0           0
          1                         flop_count_hp_mul                          Floating Point Operation(Half Precision Mul)           0           0           0
          1                        flop_hp_efficiency                                            FLOP Efficiency(Peak Half)       0.00%       0.00%       0.00%
          1                                inst_fp_16                                                 HP Instructions(Half)           0           0           0
          1             half_precision_fu_utilization                              Half-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1                  eligible_warps_per_cycle                                       Eligible Warps Per Active Cycle    0.502131    0.502131    0.502131
          1                        flop_sp_efficiency                                          FLOP Efficiency(Peak Single)       0.55%       0.55%       0.55%
          1                        flop_dp_efficiency                                          FLOP Efficiency(Peak Double)       0.13%       0.13%       0.13%
    Kernel: setup_kernel(curandStateXORWOW*, int)
