==11333== NVPROF is profiling process 11333, command: ../bin/gpu
==11333== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==11333== Profiling application: ../bin/gpu
==11333== Profiling result:
==11333== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA Tegra X1 (0)"
    Kernel: abc_algo(void)
          1                surface_reduction_requests        Total number of surface reduction requests from Multiprocessor           0           0           0
          1                     texture_load_requests             Total number of texture Load requests from Multiprocessor           0           0           0
          1                          stall_inst_fetch                              Issue Stall Reasons (Instructions Fetch)       8.80%       8.80%       8.80%
          1                     stall_exec_dependency                            Issue Stall Reasons (Execution Dependency)      11.40%      11.40%      11.40%
          1                   stall_memory_dependency                                    Issue Stall Reasons (Data Request)      70.26%      70.26%      70.26%
          1                             stall_texture                                         Issue Stall Reasons (Texture)       1.79%       1.79%       1.79%
          1                                stall_sync                                 Issue Stall Reasons (Synchronization)       0.00%       0.00%       0.00%
          1                               stall_other                                           Issue Stall Reasons (Other)       6.84%       6.84%       6.84%
          1          stall_constant_memory_dependency                              Issue Stall Reasons (Immediate constant)       0.42%       0.42%       0.42%
          1                           stall_pipe_busy                                       Issue Stall Reasons (Pipe Busy)       0.04%       0.04%       0.04%
          1                     stall_memory_throttle                                 Issue Stall Reasons (Memory Throttle)       0.12%       0.12%       0.12%
          1                        stall_not_selected                                    Issue Stall Reasons (Not Selected)       0.33%       0.33%       0.33%
          1                  sysmem_read_transactions                                       System Memory Read Transactions           0           0           0
          1                 sysmem_write_transactions                                      System Memory Write Transactions           0           0           0
          1                      l2_read_transactions                                                  L2 Read Transactions       51106       51106       51106
          1                     l2_write_transactions                                                 L2 Write Transactions        3605        3605        3605
          1                     local_memory_overhead                                                 Local Memory Overhead       2.68%       2.68%       2.68%
          1                        tex_cache_hit_rate                                                Unified Cache Hit Rate      70.16%      70.16%      70.16%
          1                    l2_tex_read_throughput                                         L2 Throughput (Texture Reads)  3.9279GB/s  3.9279GB/s  3.9279GB/s
          1                   l2_tex_write_throughput                                        L2 Throughput (Texture Writes)  287.62MB/s  287.62MB/s  287.62MB/s
          1                  l2_tex_read_transactions                                       L2 Transactions (Texture Reads)       50120       50120       50120
          1                 l2_tex_write_transactions                                      L2 Transactions (Texture Writes)        3584        3584        3584
          1                        l2_read_throughput                                                 L2 Throughput (Reads)  4.0052GB/s  4.0052GB/s  4.0052GB/s
          1                       l2_write_throughput                                                L2 Throughput (Writes)  289.30MB/s  289.30MB/s  289.30MB/s
          1                    sysmem_read_throughput                                         System Memory Read Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   sysmem_write_throughput                                        System Memory Write Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                      l2_atomic_throughput                                       L2 Throughput (Atomic requests)  0.00000B/s  0.00000B/s  0.00000B/s
          1                    l2_atomic_transactions                                     L2 Transactions (Atomic requests)           0           0           0
          1                         sysmem_read_bytes                                              System Memory Read Bytes           0           0           0
          1                        sysmem_write_bytes                                             System Memory Write Bytes           0           0           0
          1                          gld_transactions                                              Global Load Transactions      699902      699902      699902
          1              gld_transactions_per_request                                  Global Load Transactions Per Request   11.511546   11.511546   11.511546
          1                            l2_utilization                                                  L2 Cache Utilization     Low (1)     Low (1)     Low (1)
